admissionNumber,feeHead,feeType,annualAmount,paidAmount,paymentDate,paymentMethod,receiptNumber,transactionReference,chequeDate,bankName,collectedBy,dueDate,discountAmount,discountReason,concessionAmount,lateFeeAmount,academicSession,remarks
3887,Tuition Fee,recurring,2600,1,2026-04-01,Cash,MIG-3887-TuitionFee,,,,Admin,2026-04-01,2599,,0,0,2026-2027,Migrated from SPIS (1 receipt)
5225,Tuition Fee,recurring,4500,4500,2026-04-01,UPI,MIG-5225-TuitionFee,156609536081,,Union Bank,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
5182,Tuition Fee,recurring,4500,4500,2026-04-01,Cash,MIG-5182-TuitionFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6121,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6121-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6054,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6054-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6055,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6055-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6056,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6056-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6057,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6057-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6058,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6058-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6059,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6059-RegistrationFee,,2026-04-01,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6060,Registration Fee,one_time,1000,1000,2026-04-01,Online,MIG-6060-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6061,Registration Fee,one_time,1000,1000,2026-04-01,Cash,MIG-6061-RegistrationFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6062,Registration Fee,one_time,1000,1000,2026-04-01,Cash,MIG-6062-RegistrationFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6063,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6063-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6064,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6064-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6067,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6067-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6068,Registration Fee,one_time,1000,1000,2026-04-01,Cash,MIG-6068-RegistrationFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6070,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6070-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6071,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6071-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6072,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6072-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6073,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6073-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6074,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6074-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6075,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6075-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6076,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6076-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6077,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6077-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6078,Registration Fee,one_time,1000,1000,2026-04-01,Cash,MIG-6078-RegistrationFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6079,Registration Fee,one_time,1000,1000,2026-04-01,Cash,MIG-6079-RegistrationFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6080,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6080-RegistrationFee,,2026-04-02,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6081,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6081-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6082,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6082-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6083,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6083-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6084,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6084-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6085,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6085-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6086,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6086-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6087,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6087-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6088,Registration Fee,one_time,1000,1000,2026-04-01,Cash,MIG-6088-RegistrationFee,,,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6089,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6089-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6090,Registration Fee,one_time,1000,1000,2026-04-01,Card,MIG-6090-RegistrationFee,,2026-04-03,,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6093,Registration Fee,one_time,1000,1000,2026-04-01,UPI,MIG-6093-RegistrationFee,,2026-04-03,ONLINE,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
6094,Registration Fee,one_time,1000,1000,2026-04-01,UPI,MIG-6094-RegistrationFee,,2026-04-03,ONLINE,Admin,2026-04-01,0,,0,0,2026-2027,Migrated from SPIS (1 receipt)
